epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,2255.51,0.62127,0.40411,0.01194,0.93016,0.87606,0.93617,0.75375,0.65292,0.3171,0.01367,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,2282.18,0.61494,0.39207,0.01175,0.88989,0.8855,0.94426,0.763,0.66518,0.31209,0.0142,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,2309.05,0.61597,0.40885,0.01183,0.90237,0.89334,0.94569,0.76466,0.65936,0.30732,0.01393,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,2335.89,0.60907,0.40828,0.01168,0.93893,0.86418,0.94901,0.75764,0.66878,0.31226,0.01407,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,2362.78,0.60795,0.40578,0.01179,0.93577,0.85478,0.94676,0.76308,0.66714,0.31663,0.01426,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,2389.5,0.60114,0.38552,0.01143,0.95684,0.85228,0.94729,0.75485,0.67067,0.30627,0.01429,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,2416.36,0.59665,0.38762,0.01142,0.92222,0.89521,0.94697,0.75849,0.65714,0.30978,0.01391,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,2443.77,0.58927,0.38074,0.01112,0.85415,0.92545,0.94377,0.75959,0.65197,0.30172,0.01379,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,2470.73,0.59608,0.38798,0.01136,0.95258,0.85922,0.94854,0.76607,0.64847,0.30339,0.01368,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,2497.65,0.59492,0.37146,0.01124,0.93778,0.8726,0.94373,0.76462,0.65016,0.29946,0.01388,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,2527.81,0.57681,0.36756,0.01102,0.87976,0.90459,0.94439,0.75881,0.65413,0.30257,0.01397,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,2554.36,0.58996,0.36937,0.01121,0.95788,0.85045,0.9529,0.76814,0.66085,0.30243,0.01424,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,2580.93,0.58542,0.36458,0.01106,0.88511,0.91733,0.95295,0.76424,0.65223,0.2928,0.0139,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,2607.44,0.5847,0.36019,0.01104,0.96397,0.85622,0.95212,0.7626,0.65268,0.29962,0.01369,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
